Year,Month,Day,Name,Location,Country,Latitude,Longitude,Elevation,Type,magnitude,death,missing,injuries,damages
1995,2,4,Yasur,Vanuatu-SW Pacific,Vanuatu,-19.52,169.425,361,Stratovolcano,3,2,,,
1995,2,11,Yake-dake,Honshu-Japan,Japan,36.22,137.58,2455,Stratovolcano,1,4,,,
1995,4,2,Fogo,Cape Verde Is,Cape Verde,14.95,-24.35,2829,Stratovolcano,2,,,20,
1995,4,7,Pacaya,Guatemala,Guatemala,14.381,-90.601,2552,Complex volcano,3,1,,,
1995,5,15,Kelimutu,Lesser Sunda Is,Indonesia,-8.758,121.83,1640,Complex volcano,,1,,,
1995,9,6,Parker,Mindanao-Philippines,Philippines,6.12,124.892,1824,Stratovolcano,,60,,,
1996,1,2,Karymsky,Kamchatka,Russia,54.05,159.43,1536,Stratovolcano,2,,,,
1996,4,30,Popocatepetl,Mexico,Mexico,19.023,-98.622,5426,Stratovolcano,3,5,,,
1996,8,10,Kanlaon,Philippines-C,Philippines,10.412,123.132,2435,Stratovolcano,2,3,,18,
1996,9,27,Maderas,Nicaragua,Nicaragua,11.446,-85.515,1394,Stratovolcano,,6,,,
1996,9,30,Grimsvotn,Iceland-NE,Iceland,64.42,-17.33,1725,Caldera,3,,,,
1996,12,3,Manam,New Guinea-NE of,Papua New Guinea,-4.1,145.061,1807,Stratovolcano,3,13,,29,
1997,1,14,Merapi,Java,Indonesia,-7.542,110.442,2947,Stratovolcano,2,6,,,
1997,4,17,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,2.78,125.48,1784,Stratovolcano,1,3,,,
1997,6,25,Soufriere Hills,W Indies,Montserrat,16.72,-62.18,915,Stratovolcano,3,22,,,
1997,7,12,Hakkoda Group,Honshu-Japan,Japan,40.65,140.88,1585,Stratovolcano,,3,,,
1997,8,1,Soufriere Hills,W Indies,Montserrat,16.72,-62.18,915,Stratovolcano,3,2,,,
1997,9,2,Semeru,Java,Indonesia,-8.108,112.92,3676,Stratovolcano,3,2,,,
1997,9,15,Adatara,Honshu-Japan,Japan,37.62,140.28,1718,Stratovolcano,,4,,,
1997,11,23,Aso,Kyushu-Japan,Japan,32.88,131.1,1592,Caldera,,2,,,
1997,12,26,Soufriere Hills,W Indies,Montserrat,16.72,-62.18,915,Stratovolcano,,,,,
1998,4,28,Kilauea,Hawaiian Is,United States,19.425,-155.292,1222,Shield volcano,,,,,
1998,7,,Kelut,Java,Indonesia,-7.93,112.308,1731,Stratovolcano,,10,,,
1998,10,30,San Cristobal,Nicaragua,Nicaragua,12.702,-87.004,1745,Stratovolcano,,1620,,,
1999,1,20,Soufriere Hills,W Indies,Montserrat,16.72,-62.18,915,Stratovolcano,3,,,,
1999,5,21,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,2,,,,
1999,8,15,Shiveluch,Kamchatka,Russia,56.653,161.36,3283,Stratovolcano,4,,,,
1999,10,5,Guagua Pichincha,Ecuador,Ecuador,-0.171,-78.598,4784,Stratovolcano,3,2,,,
1999,10,16,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,3,1,,4,
2000,6,27,Miyake-jima,Izu Is-Japan,Japan,34.08,139.53,815,Stratovolcano,2,1,,,
2000,7,27,Semeru,Java,Indonesia,-8.108,112.92,3676,Stratovolcano,3,2,,,
2000,8,23,Arenal,Costa Rica,Costa Rica,10.463,-84.703,1657,Stratovolcano,3,2,,1,
2000,11,3,Kilauea,Hawaiian Is,United States,19.425,-155.292,1222,Shield volcano,,2,,,
2000,11,,Merapi,Java,Indonesia,-7.542,110.442,2947,Stratovolcano,2,1,,,
2001,5,14,Etna,Italy,Italy,37.734,15.004,3350,Stratovolcano,3,1,,,
2001,7,26,Etna,Italy,Italy,37.734,15.004,3350,Stratovolcano,2,,,,
2001,8,5,Merapi,Java,Indonesia,-7.542,110.442,2947,Stratovolcano,2,2,,,
2001,10,20,Stromboli,Italy,Italy,38.789,15.213,926,Stratovolcano,2,1,,,
2002,1,3,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,2.78,125.48,1784,Stratovolcano,3,,,,
2002,1,17,Nyiragongo,Africa-C,"Congo, DRC",-1.52,29.25,3470,Stratovolcano,1,100,,,
2002,8,28,Etna,Italy,Italy,37.734,15.004,3350,Stratovolcano,3,,,32,
2002,11,3,Reventador,Ecuador,Ecuador,-0.078,-77.656,3562,Stratovolcano,4,,,,
2002,12,30,Stromboli,Italy,Italy,38.789,15.213,926,Stratovolcano,,,,,
2002,,,Semeru,Java,Indonesia,-8.108,112.92,3676,Stratovolcano,3,3,,,
2003,7,12,Soufriere Hills,W Indies,Montserrat,16.72,-62.18,915,Stratovolcano,3,,,,
2004,1,29,Egon,Lesser Sunda Is,Indonesia,-8.67,122.45,1703,Stratovolcano,1,1,,,
2004,6,8,Tengger Caldera,Java,Indonesia,-7.942,112.95,2329,Stratovolcano,2,,,,
2004,10,24,Manam,New Guinea-NE of,Papua New Guinea,-4.1,145.061,1807,Stratovolcano,4,5,,,
2005,1,27,Manam,New Guinea-NE of,Papua New Guinea,-4.1,145.061,1807,Stratovolcano,4,1,,14,
2005,10,1,Santa Ana,El Salvador,El Salvador,13.853,-89.63,2365,Stratovolcano,3,2,,,
2005,11,24,Karthala,Indian O-W,Comoros,-11.75,43.38,2361,Shield volcano,,,,,
2006,3,17,Raoul Island,Kermadec Is,New Zealand,-29.27,-177.92,516,Stratovolcano,,1,,,
2006,5,20,Soufriere Hills,W Indies,Montserrat,16.72,-62.18,915,Stratovolcano,2,,,,
2006,6,7,Bulusan,Luzon-Philippines,Philippines,12.77,124.05,1565,Stratovolcano,2,1,,,
2006,6,14,Merapi,Java,Indonesia,-7.542,110.442,2947,Stratovolcano,1,2,,,
2006,7,18,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,3,1,,,
2006,8,17,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,3,6,,,
2006,11,30,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,1,1266,,,
2007,3,,Manam,New Guinea-NE of,Papua New Guinea,-4.1,145.061,1807,Stratovolcano,4,4,,1,
2007,4,18,Huila,Colombia,Colombia,2.92,-76.05,5365,Stratovolcano,,,,,
2007,7,7,Salak,Java,Indonesia,-6.72,106.73,2211,Stratovolcano,,6,,,
2007,9,30,"Tair, Jebel at",Red Sea,Yemen,15.7,41.742,244,Stratovolcano,,7,,,
2008,5,2,Chaiten,Chile-S,Chile,-42.833,-72.646,962,Caldera,,1,,,
2008,8,8,Kasatochi,Aleutian Is,United States,52.18,-175.5,314,Stratovolcano,3,,,,
2008,8,22,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,3,2,,2,
2008,11,20,Huila,Colombia,Colombia,2.92,-76.05,5365,Stratovolcano,,10,,,
2009,3,23,Redoubt,Alaska-SW,United States,60.48,-152.75,3108,Stratovolcano,,,,,
2009,11,30,Kilauea,Hawaiian Is,United States,19.425,-155.292,1222,Shield volcano,,,,,
2010,1,,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,3,,,,
2010,3,31,Eyjafjallajokull,Iceland-S,Iceland,63.63,-19.62,1666,Stratovolcano,2,2,,,
2010,5,27,Pacaya,Guatemala,Guatemala,14.381,-90.601,2552,Complex volcano,1,1,3,,
2010,5,29,Sarigan,Mariana Is-C Pacific,United States,16.708,145.78,538,Stratovolcano,,,,,
2010,8,6,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,2.78,125.48,1784,Stratovolcano,3,4,,5,
2010,8,30,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,,2,,,
2010,10,26,Merapi,Java,Indonesia,-7.542,110.442,2947,Stratovolcano,,367,,277,600
2010,11,,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,3,,,,
2010,12,28,Tengger Caldera,Java,Indonesia,-7.942,112.95,2329,Stratovolcano,,,,,
2011,1,3,Merapi,Java,Indonesia,-7.542,110.442,2947,Stratovolcano,,1,,1,
2011,1,28,Kirishima,Kyushu-Japan,Japan,31.93,130.87,1700,Shield volcano,,,,,
2011,2,23,Bulusan,Luzon-Philippines,Philippines,12.77,124.05,1565,Stratovolcano,2,1,,,
2011,3,18,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,2.78,125.48,1784,Stratovolcano,,,,,
2011,4,,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,4,,,,
2011,6,4,Puyehue,Chile-C,Chile,-40.59,-72.117,2236,Stratovolcano,4,,,,
2011,6,22,Nabro,Africa-NE,Eritrea,13.37,41.7,2218,Stratovolcano,3,31,,,
2011,7,9,Katla,Iceland-S,Iceland,63.63,-19.05,1512,Subglacial volcano,,,,,
2011,7,17,Lokon-Empung,Sulawesi-Indonesia,Indonesia,1.358,124.792,1580,Stratovolcano,,1,,,
2011,12,27,Gamalama,Halmahera-Indonesia,Indonesia,0.8,127.325,1715,Stratovolcano,3,4,,,
2012,2,10,Kilauea,Hawaiian Is,United States,19.425,-155.292,1222,Shield volcano,,,,,
2012,3,2,Kilauea,Hawaiian Is,United States,19.425,-155.292,1222,Shield volcano,,,,,
2012,12,12,Tolbachik,Kamchatka,Russia,55.83,160.33,3682,Shield volcano,,,,,
2013,2,12,Merapi,Java,Indonesia,-7.542,110.442,2947,Stratovolcano,,1,,1,
2013,2,,Paluweh,Lesser Sunda Is,Indonesia,-8.32,121.708,875,Stratovolcano,,,,,
2013,5,7,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,,5,,8,
2013,8,10,Paluweh,Lesser Sunda Is,Indonesia,-8.32,121.708,875,Stratovolcano,3,5,,,
2013,9,1,Ubinas,Peru,Peru,-16.355,-70.903,5672,Stratovolcano,,,,,
2013,9,4,Sakura-jima,Kyushu-Japan,Japan,31.58,130.67,1117,Stratovolcano,,,,,
2013,9,15,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,2,,,,
2013,12,13,Okataina,New Zealand,New Zealand,-38.12,176.5,1111,Lava dome,,1,,,
2014,2,1,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,,17,,3,
2014,2,13,Kelut,Java,Indonesia,-7.93,112.308,1731,Stratovolcano,,7,,,
2014,9,27,On-take,Honshu-Japan,Japan,35.9,137.48,3063,Complex volcano,3,55,,70,
2014,11,10,Kilauea,Hawaiian Is,United States,19.425,-155.292,1222,Shield volcano,,,,,14.5
2014,11,23,Fogo,Cape Verde Is,Cape Verde,14.95,-24.35,2829,Stratovolcano,,,,,
2014,12,18,Gamalama,Halmahera-Indonesia,Indonesia,0.8,127.325,1715,Stratovolcano,,1,,4,
2015,2,20,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,,,,,
2015,4,22,Calbuco,Chile-S,Chile,-41.326,-72.614,2003,Stratovolcano,,,,,
2015,5,7,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,2.78,125.48,1784,Stratovolcano,,,,,
2015,7,31,Manam,New Guinea-NE of,Papua New Guinea,-4.1,145.061,1807,Stratovolcano,2,,,2,
2015,10,16,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,,1,,,
2015,10,,Okataina,New Zealand,New Zealand,-38.12,176.5,1111,Lava dome,,1,,,
2016,5,9,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,,1,,4,
2016,5,21,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,,7,,3,100
2016,6,9,Yellowstone,US-Wyoming,United States,44.43,-110.67,2805,Caldera,,1,,,
2016,9,27,Rinjani,Lesser Sunda Is,Indonesia,-8.42,116.47,3726,Stratovolcano,,,44,,
2016,10,8,Aso,Kyushu-Japan,Japan,32.88,131.1,1592,Caldera,,,,,
2017,3,15,Etna,Italy,Italy,37.734,15.004,3350,Stratovolcano,,,,10,
2017,4,13,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,2,,,,
2017,6,6,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,2,,,,
2017,7,1,Dieng Volc Complex,Java,Indonesia,-7.2,109.92,2565,Complex volcano,,8,,11,
2017,9,12,Campi Flegrei,Italy,Italy,40.827,14.139,458,Caldera,,3,,,
2017,9,23,Aoba,Vanuatu-SW Pacific,Vanuatu,-15.4,167.83,1496,Shield volcano,,,,,
2017,12,18,Merapi,Java,Indonesia,-7.542,110.442,2947,Stratovolcano,,8,,8,
2017,12,27,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,,,,,
2018,1,5,Kadovar,New Guinea-NE of,Papua New Guinea,-3.62,144.62,365,Stratovolcano,,,,,
2018,1,13,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,,,,1972,3.564
2018,1,23,Kusatsu-Shirane,Honshu-Japan,Japan,36.62,138.55,2176,Stratovolcano,,1,,11,
2018,2,1,Kilauea,Hawaiian Is,United States,19.425,-155.292,1222,Shield volcano,1,1,,3,
2018,2,9,Kadovar,New Guinea-NE of,Papua New Guinea,-3.62,144.62,365,Stratovolcano,,,,,
2018,3,21,Ijen,Java,Indonesia,-8.058,114.242,2799,Stratovolcano,,,,30,
2018,3,30,Aoba,Vanuatu-SW Pacific,Vanuatu,-15.4,167.83,1496,Shield volcano,3,4,,,
2018,4,28,Kilauea,Hawaiian Is,United States,19.425,-155.292,1222,Shield volcano,1,,,1,370
2018,6,3,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,2,201,229,27,120
2018,7,16,Kilauea,Hawaiian Is,United States,19.425,-155.292,1222,Shield volcano,,,,23,1
2018,8,25,Manam,New Guinea-NE of,Papua New Guinea,-4.1,145.061,1807,Stratovolcano,4,,,,
2018,12,15,Ambrym,Vanuatu-SW Pacific,Vanuatu,-16.25,168.12,1334,Pyroclastic shield,2,,,,
2018,12,22,Krakatau,Indonesia,Indonesia,-6.102,105.423,813,Caldera,1,437,10,31943,250
2018,12,26,Etna,Italy,Italy,37.734,15.004,3350,Stratovolcano,2,,,28,115
2019,1,7,Manam,New Guinea-NE of,Papua New Guinea,-4.1,145.061,1807,Stratovolcano,4,,,,
2019,5,7,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,,,,,
2019,6,26,Ulawun,New Britain-SW Pac,Papua New Guinea,-5.05,151.33,2334,Stratovolcano,,,,2,14
2019,6,28,Manam,New Guinea-NE of,Papua New Guinea,-4.1,145.061,1807,Stratovolcano,4,,,,
2019,7,3,Stromboli,Italy,Italy,38.789,15.213,926,Stratovolcano,2,1,,1,
2019,8,28,Stromboli,Italy,Italy,38.789,15.213,926,Stratovolcano,2,,,,
2019,12,9,White Island,New Zealand,New Zealand,-37.52,177.18,321,Stratovolcano,2,21,,24,
2020,1,12,Taal,Luzon-Philippines,Philippines,14.002,120.993,400,Stratovolcano,,,,,67